PDF Number,OB_match,Receipt_match,Exp_match,CB_match,Check_match,CB_Check_s_match,CB_Check_m_match
106547_AR_2015-2016-DHENKANAL,False,False,False,False,30868.939999997616,-30869.0,False
251785_AR_2016-2017-DHENKANAL,False,False,False,False,30870.069999992847,-30869.0,False
3154_AR_2012-2013-DHENKANAL,False,False,False,-199999999.12,False,-200000000.0,False
341458_AR_2017-2018-DHENKANAL,False,False,False,False,30869.810000002384,-30869.15000000596,False
34905_AR_2013-2014-DHENKANAL,False,False,False,False,False,False,False
385798_AR_2018-2019-DHENKANAL,False,False,False,False,25597.230000004172,-25596.15000000596,False
45906_AR_2014-2015-DHENKANAL,False,False,False,False,30870.04999999702,-30869.0,False
466211_AR_2019-2020-DHENKANAL,False,False,False,False,30868.87999999523,-30869.15000000596,False
557708_AR_2020-2021-DHENKANAL,False,False,False,False,30869.27000001073,-30869.15000000596,False
644060_AR_2021-2022-DHENKANAL,False,False,False,False,30869.790000021458,-30869.150000035763,False
696815_AR_2022-2023-DHENKANAL,False,False,False,False,57536.160000026226,-57536.15000003576,False
